name	version	license	source
tls_codec	0.4.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tls_codec_derive	0.4.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
toml_edit	0.25.12+spec-1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
toml_parser	1.1.2+spec-1.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tracing	0.1.44	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-attributes	0.1.31	MIT	registry+https://github.com/rust-lang/crates.io-index
tracing-core	0.1.36	MIT	registry+https://github.com/rust-lang/crates.io-index
typenum	1.20.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index
unicode-xid	0.2.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
universal-hash	0.5.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
untrusted	0.9.0	ISC	registry+https://github.com/rust-lang/crates.io-index
unty-next	0.1.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
uuid	1.23.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
version_check	0.9.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
virtue-next	0.1.3	MIT or Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip2	1.0.3+wasi-0.2.9	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen	0.2.123	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-futures	0.4.73	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro	0.2.123	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro-support	0.2.123	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-shared	0.2.123	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
wasm-encoder	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasm-metadata	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wasmparser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
web-sys	0.3.100	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi	0.3.9	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows	0.57.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-core	0.57.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-implement	0.57.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-interface	0.57.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-result	0.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.52.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.61.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
winnow	1.0.3	MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-core	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-bindgen-rust-macro	0.51.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-component	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wit-parser	0.244.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
wyz	0.5.1	MIT	registry+https://github.com/rust-lang/crates.io-index
x509-cert	0.2.5	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
x509-parser	0.18.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
zerocopy	0.8.52	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zerocopy-derive	0.8.52	BSD-2-Clause OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zeroize	1.8.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zeroize_derive	1.4.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
zmij	1.0.21	MIT	registry+https://github.com/rust-lang/crates.io-index
